,Jeep is similar to,Subaru is similar to,Dodge is similar to,Tesla is similar to,Toyota is similar to,Honda is similar to,Nissan is similar to,Chevrolet is similar to,Hyundai is similar to,Mazda is similar to,Renault is similar to,Lamborghini is similar to,Mercedes-Benz is similar to,BMW is similar to,Ford is similar to,Porsche is similar to,Audi is similar to,Volkswagen is similar to,Ferrari is similar to,Lexus is similar to,Volvo is similar to
Jeep,53,0,0,1,0,0,0,3,1,2,0,0,1,0,1,0,0,2,0,0,0
Subaru,0,41,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,2,1
Dodge,4,0,52,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0
Tesla,1,0,0,54,6,0,9,6,6,3,0,0,7,0,1,1,3,1,1,4,5
Toyota,2,0,2,1,52,19,9,7,24,18,3,0,1,4,4,5,6,7,0,11,7
Honda,1,0,0,0,6,55,4,4,11,7,5,7,1,2,2,2,2,3,3,6,11
Nissan,0,0,0,0,10,2,54,3,3,3,15,1,1,1,2,2,3,2,0,6,1
Chevrolet,8,0,1,1,1,1,2,45,2,0,0,1,0,1,7,0,0,0,0,2,2
Hyundai,1,0,0,0,0,0,1,0,48,1,0,0,0,0,1,0,0,1,0,1,0
Mazda,0,0,0,0,0,1,0,2,0,47,0,0,0,0,2,0,0,2,0,3,0
Renault,0,0,0,0,0,0,0,0,0,0,40,0,0,0,1,0,2,0,0,0,0
Lamborghini,0,0,1,0,0,0,0,0,0,0,0,58,0,0,1,2,0,0,1,0,0
Mercedes-Benz,1,0,1,1,1,1,2,2,2,4,12,7,54,8,2,3,9,1,4,12,1
BMW,0,0,0,0,4,6,4,2,2,12,6,1,14,52,4,13,23,2,2,19,10
Ford,11,0,5,4,22,0,7,23,16,10,1,0,2,2,37,7,2,9,1,5,5
Porsche,0,0,0,0,0,0,1,1,0,1,1,8,3,5,1,50,4,4,2,1,0
Audi,0,0,1,0,0,0,0,0,0,1,3,3,8,3,0,5,53,5,0,4,0
Volkswagen,0,0,0,0,8,1,7,2,6,4,0,0,6,3,1,2,16,42,0,1,3
Ferrari,0,0,1,1,0,0,1,0,1,0,23,21,3,1,3,10,0,0,56,0,0
Lexus,0,0,0,0,1,1,0,0,3,0,0,0,0,0,0,1,0,2,0,21,0
Volvo,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,43
